地獄の沙汰も金次第	A golden key opens every door.
過ぎたるは猶及ばざるが如し	More is not always better.
蛙の子は蛙	The apple never falls far from the tree.
海老で鯛を釣る	Throw a sprat to catch a mackerel.
聞くは一時の恥	Better to ask the way than go astray.
捕らぬ狸の皮算用	Don't count your chickens before they are hatched.
可愛い子には旅をさせよ	Spare the rod and spoil the child.
釈迦に説法	Don’t teach fishes to swim.
口は災いの元	Out of the mouth comes evil.
三人寄れば文殊の知恵	Two heads are better than one.
知らぬが仏	Innocence is bliss.
一寸の虫にも五分の魂	Even a worm will turn.
寝た子を起こすな	Let sleeping dogs lie.
待てば海路の日和あり	It's a long lane that has no turning.
雨降って地固まる	After a storms comes a calm.
雄弁は銀、沈黙は金	Speech is silver, silence is gold.
歴史は繰り返す	History repeats itself.
すべての道はローマに通ず	All roads lead to Rome.
金の切れ目が縁の切れ目	Money gone, friends gone.
情けは人の為ならず	One good turn deserves another.
